Sl No.,CWE,Adversary Model ,Assets,Attack Surfaces,Vulnerabilities,Threats,,,
18,CWE-1332: Improper Handling of Faults that Lead to Instruction Skips,"Skilled Hardware Adversary
A skilled hardware adversary possesses deep expertise in hardware-level fault injection techniques and has access to specialized equipment such as voltage glitchers, electromagnetic pulse generators, and laser fault injection setups. This adversary can manipulate hardware behavior by inducing faults that cause critical security checks to be skipped.
Example:
1. An attacker leveraging CAPEC-624 could intentionally introduce transient faults to a cryptographic operation, bypassing authentication checks or extracting sensitive information from a secure enclave.
2. In CVE-2019-15894, improper error handling in a secure boot implementation allowed an attacker to inject faults and cause critical verification steps to be skipped, leading to unauthorized execution of unsigned code.",,,"Bypass Security Protection
The core vulnerability lies in improper handling of hardware faults, allowing attackers to skip security-critical instructions. Secure boot processes, cryptographic functions, and privilege separation mechanisms rely on strict execution integrity, and any disruption in their flow can lead to severe security breaches.
Example:
1. In CVE-2019-15894, the system failed to detect or mitigate instruction skips caused by voltage manipulation, allowing attackers to bypass secure boot validation checks and execute unauthorized firmware.","Fault Injection Attack
A fault injection attack exploits hardware vulnerabilities by manipulating power, clock signals, or memory accesses to induce faults that cause unintended instruction execution behavior.
These attacks are categorized under CAPEC-624 and CAPEC-625, which describe how adversaries can compromise devices by carefully controlled fault manipulations.
Example:
1. A well-timed voltage glitch can cause a security check instruction (if (secure_boot_enabled) { ... }) to be skipped entirely, effectively disabling secure boot protections and allowing unauthorized code execution, as seen in CVE-2019-15894.",,,
19,CWE-1189: Improper Isolation of Shared Resources on System-on-Chip (SoC),"Simple Hardware Adversary
A simple hardware adversary has physical access to the device and uses low-cost tools to manipulate or analyze shared resources. The adversary may not require sophisticated lab equipment but can still exploit improperly isolated SoC components.
Example:
1. CAPEC-124: Attackers induce faults in shared hardware resources to cause unintended behavior, such as bypassing privilege restrictions or injecting errors into security-critical components.
2. In CVE-2019-6260, the vulnerability allowed attackers with access to the Baseboard Management Controller (BMC) of certain SoCs to exploit improper isolation and gain unauthorized access to system memory and resources.","Shared Resources (Memory, Control Registers)
The assets at risk are shared resources, such as memory, control registers, and peripheral interfaces, that lack proper access control.
Example:
1. When multiple components in an SoC share a common memory region or control registers, improper isolation can lead to unauthorized access or data leakage.
2. CVE-2020-8698 This vulnerability in Intel processors exposed a flaw in memory access control, allowing unauthorized modifications to system management mode (SMM) memory, which could lead to privilege escalation.","SoC Shared Pins/Pads
The attack surfaces are the physical and logical interfaces through which adversaries access shared resources.

Example:
1. In CAPEC-124, attackers target shared communication buses, SoC interconnects, or shared register spaces to inject faults or observe privileged data.
2. In CVE-2019-6260, the BMC in certain SoCs failed to enforce access restrictions, allowing attackers to manipulate shared memory and peripheral control registers.","Improper Isolation of Shared Resources
The vulnerability arises from insufficient access control or isolation of shared hardware components.
Example:
1. If a secure execution environment (e.g., Trusted Execution Environment - TEE) shares memory with an untrusted component without strict access control, an attacker can read or modify sensitive data.
2. In CVE-2020-8698, a flaw in memory isolation allowed unauthorized access to privileged execution regions, potentially leading to unauthorized code execution in secure environments.","Unauthorized Access and Modifications
The threat stems from attackers leveraging improper isolation to gain unauthorized access or modify system resources. By manipulating shared memory or control interfaces, attackers can escalate privileges, execute malicious firmware, or disable security features.

Example:
1. In CAPEC-124, attackers induce faults to bypass memory protection or modify control registers, leading to privilege escalation.
2. In CVE-2019-6260, attackers leveraged an improperly isolated SoC management controller to gain full control over system resources, allowing arbitrary code execution.",,,
20,CWE-1191: On-Chip Debug and Test Interface With Improper Access Control,"Simple Hardware Adversary
A simple hardware adversary has physical access to the device and can manipulate on-chip debug and test interfaces (e.g., JTAG, SWD) using commercially available tools.
This adversary can modify system behavior, dump sensitive data, or execute unauthorized firmware updates by exploiting unprotected debug access.
Example
1. CAPEC-1 Attackers can bypass authentication mechanisms and access privileged functions via improperly secured debug interfaces.
2. In CVE-2019-18827, JTAG debugging interfaces lacked proper authentication, allowing unauthorized access to critical system memory and processor registers.","On-Chip Assets
The primary assets at risk are the internal registers, memory spaces, and configuration settings exposed through debug interfaces.
Example:
1. Debug interfaces, if left enabled in production devices, expose low-level control over system behavior, enabling attackers to bypass security policies.
2. In CVE-2019-18827, the lack of access control over JTAG allowed unauthorized read/write access to CPU registers and security-sensitive settings, which could compromise the entire platform.","On-Chip Debug Interfaces
The attack surfaces include hardware debugging interfaces such as JTAG (Joint Test Action Group) and SWD (Serial Wire Debug).
Example:
1. CAPEC-180 Debug interfaces often operate at privileged execution levels, allowing full access to CPU memory and registers if access control is misconfigured.
2. In CVE-2019-18827 attackers exploited a JTAG interface that was not disabled or properly secured, allowing them to execute privileged code and modify protected memory.","Improper Debug Access Control
The core vulnerability is the lack of authentication or improper restriction of debug interfaces, enabling unauthorized access.
This improper access control creates an easily exploitable entry point for attackers with physical access to the device.
Example
1. Debug interfaces should be disabled in production devices or require cryptographic authentication to prevent unauthorized access.
2. In CVE-2019-18827, the vulnerability stemmed from a lack of JTAG authentication, allowing an attacker to access protected memory regions and registers.","Unauthorized Register Access and Incorrect Access Control Levels
The threats arise when attackers exploit improperly secured debug interfaces to manipulate register values or escalate privileges.

Example:
1. CAPEC-1 Attackers can modify critical system registers to disable security features or gain root-level access.
2. In CVE-2019-18827, the lack of JTAG access control enabled attackers to bypass authentication mechanisms and execute privileged instructions.",,,
21,CWE-1231: Improper Prevention of Lock Bit Modification,"Simple Hardware Adversary
A Simple Hardware Adversary has physical access to the device and can manipulate hardware or firmware components with minimal tools.
Example
1. CAPEC-680 Attackers can modify security-critical registers, including lock bits, to bypass security features that rely on them.
2. In CVE-2017-6283 the vulnerability allowed attackers to modify protected registers controlling GPU memory isolation, leading to arbitrary memory access.","On-Chip Asset (Lock Bits, Security Configuration Registers)
The critical asset at risk is the lock bit mechanism that protects BIOS, bootloaders, or critical firmware settings.
When lock bits are compromised, attackers can modify firmware settings, disable security features, and manipulate system boot processes.
Example:
1. Lock bits should be immutable once set, but if they are modifiable, attackers can change protected system settings.
2. CVE-2017-6283 Attackers could disable security restrictions by modifying registers that control GPU memory access.","BIOS/Bootloader
The attack surface consists of BIOS, bootloaders, or system firmware that relies on lock bits for security enforcement.
Since these components execute before the OS boots, compromising them leads to persistent security issues that software-based security measures cannot mitigate.
Example
1. CAPEC-680 Attackers can exploit incorrectly protected registers, allowing unauthorized changes to security settings.
2. In CVE-2017-6283 the GPU failed to enforce proper register access control, allowing attackers to modify protected values.","Read/Write-Writable Lock Bits
The core vulnerability is that lock bits are not properly enforced, allowing read/write access even when they should be immutable.
Improperly protected lock bits enable attackers to manipulate security-critical settings, rendering software defenses ineffective.
Example:
1. Lock bits should be permanently set after initialization, but insecure implementations allow them to be rewritten.
2. In CVE-2017-6283 the lack of access control on security registers allowed attackers to modify GPU memory isolation settings, leading to privilege escalation.","Exploitation of Improperly Controlled Lock Bits
Attackers modify lock bits to override security policies, disable protections, or enable persistent system compromise.
This type of exploitation can lead to arbitrary code execution, security bypass, and long-term system compromise.
Example:
1. CAPEC-680 Attackers target poorly protected system registers, allowing them to modify security-relevant parameters.
2. In CVE-2017-6283 the lack of proper register protections allowed direct modification of privileged system settings.",,,
22,CWE-1256: Improper Restriction of Software Interfaces to Hardware Features,"System Software Adversary
A System Software Adversary has full control over the operating system (OS) or hypervisor and can exploit vulnerabilities in software interfaces that manage hardware components.
Example:
1. CAPEC-624 This adversary injects faults into hardware subsystems by manipulating software-accessible hardware interfaces, potentially causing unintended behavior, data corruption, or security bypasses.
2. In CVE-2019-11157 improper software restrictions allowed attackers to bypass authentication and gain privileged access, demonstrating how software mismanagement of hardware features leads to security breaches.","On-Chip Asset
The critical asset at risk consists of hardware control interfaces that are improperly exposed or insufficiently protected by software.
Example:
1. Attackers exploit software-exposed hardware features to override security mechanisms or inject malicious configurations.
2. In CVE-2020-8695, this vulnerability allowed an adversary to manipulate privileged hardware states, affecting memory isolation and system integrity.","HOST Interface
The attack surface consists of the HOST interface, which enables software to communicate and control hardware features.
Example:
1. CAPEC-625 Mobile devices are particularly vulnerable when software exposes low-level hardware interfaces, allowing attackers to inject faults remotely.
2. In CVE-2020-8694, attackers exploited a flaw in software management of hardware security settings, leading to system compromise through unauthorized privilege escalation.","Software-Accessible Hardware Controls
The primary vulnerability is that software has unintended access to security-critical hardware controls, which allows adversaries to alter system security settings.
When hardware controls are accessible via software interfaces, adversaries can exploit these weaknesses to inject faults or disable security mechanisms.
Example:
1. If software does not enforce privilege separation, attackers can escalate privileges and modify protected hardware configurations.
2. In CVE-2020-12912, attackers were able to bypass security controls by modifying system registers that should have been restricted, leading to hardware security failures.","Fault Injection via Software Interfaces
Attackers use software-exposed hardware interfaces to inject faults into hardware subsystems, causing unexpected system behavior or security failures.
Since fault injection attacks can bypass traditional security defenses, they pose a significant risk to hardware integrity and reliability.
Example:
1. CAPEC-624 Attackers inject faults into voltage, clock, or power management components to induce malfunctions in hardware execution.
2. In CVE-2015-0565, afirmware vulnerability allowed unauthorized modifications to critical system settings, demonstrating how fault injection via software-accessible hardware interfaces can compromise security.",,,
23,CWE-1260: Improper Handling of Overlap Between Protected Memory Ranges,"System Software Adversary
A System Software Adversary operates with privileged control over the OS or hypervisor, meaning they can modify memory management configurations and exploit memory protection weaknesses.
Example:
1. CAPEC-679 Attackers manipulate the memory protection system to gain access to restricted memory regions, bypassing security policies.
2. CVE-2008-7096 demonstrates how poorly configured memory protections allowed unauthorized memory access, enabling attackers to corrupt or manipulate system-critical processes.","Privileged Memory Regions
The main asset at risk is the protected memory space, which contains critical system information, encryption keys, and privileged processes.
Example:
1. If a protected memory region overlaps with an accessible area, adversaries can read or modify privileged data, leading to data leaks or system compromise.
2. In CVE-2008-7096 attackers leveraged an improperly configured memory protection mechanism, allowing them to modify sensitive memory regions that should have been inaccessible.","Memory Interface
The attack surface consists of the memory interface, which enables software and hardware to interact with memory regions.
Since memory interfaces control access to privileged regions, any improper overlap handling increases the risk of unauthorized access and data corruption.
Example:
1. CAPEC-456 Attackers inject malicious code into improperly protected memory regions, causing system behavior manipulation or data corruption.
2. CVE-2008-7096 Attackers exploited memory protection flaws, allowing them to bypass security restrictions and execute arbitrary code.","Software Controllable Memory Region
The vulnerability arises when software can improperly define or modify memory regions, leading to overlapping protections and security bypasses.
Since software-controlled memory should follow strict privilege separation, any misconfiguration can expose the system to severe security threats.
Example:
1. If memory regions lack strict access control, attackers can manipulate protection boundaries, exposing sensitive data.
2. In CVE-2008-7096, poorly enforced memory protections enabled attackers to override system safeguards, resulting in privilege escalation and unauthorized access.","Protected Memory Access
Attackers exploit memory overlaps to access, modify, or inject malicious code into protected memory regions.
Since protected memory regions store critical security data, any unauthorized access poses a high risk of system compromise. 
Example
1. CAPEC-679 Attackers identify misconfigured memory permissions and override security restrictions, gaining unauthorized access to privileged areas.
2. In CVE-2008-7096, attackers were able to exploit improper memory protection settings, leading to execution of unauthorized operations in privileged memory spaces.",,,
24,CWE-1272: Sensitive Information Uncleared Before Debug/Power State Transition,"Simple Hardware Adversary
A Simple Hardware Adversary is defined as an attacker with physical access to the hardware but requiring minimal expertise or equipment to carry out the attack.
Example:
1. CAPEC-545 A simple hardware adversary accesses system resources (e.g., memory, registers, caches) that retain sensitive data even after power transitions or debug exits.
2. CAPEC-37 Attackers search memory for sensitive residual data, such as encryption keys, passwords, or proprietary algorithms left uncleared.
3. CVE-2020-12926 Demonstrates a case where CPU registers in AMD processors retained sensitive information after power state transitions, enabling attackers to extract sensitive data through direct memory reads.","On-Chip Asset
The primary asset at risk is the on-chip data that should be protected during power state transitions and debugging.
Example:
1. CAPEC-150 Attackers scan common memory locations (registers, buffers, or caches) for residual sensitive data.
2. In CVE-2020-12926, this vulnerability allowed attackers to recover sensitive information left uncleared in CPU registers, exposing the risk of on-chip data leakage.","Debug/Power State Transition Mechanisms
Attackers target debugging interfaces and power state transitions, where sensitive data may remain accessible.
Example:
1. As in CAPEC-546, if a system does not properly erase data before transitioning between power states, attackers can recover previous session data. 2. In CVE-2020-12926, attackers exploited uncleared CPU registers during power state transitions, retrieving sensitive information.","Incorrect Access Control, Uncleared Sensitive Information
The vulnerability arises from failure to properly clear sensitive data before power transitions or debugging access.
Example:
1. CAPEC-456 Attackers may retrieve or modify data left uncleared in system memory.
2. In CVE-2020-12926, AMD processors failed to clear register contents, exposing sensitive CPU data to attackers.","Unauthorized Access
If sensitive data remains uncleared, unauthorized access can lead to data extraction.
Example:
1. CAPEC-545 Attackers gain unauthorized access to confidential data left uncleared in registers or memory.
2. CVE-2020-12926 Demonstrates how CPU registers stored sensitive data even after power state transitions, leading to data leakage.",,,
25,CWE-1274: Improper Access Control for Volatile Memory Containing Boot Code,"Startup Code and SMM Adversary
The Startup Code and System Management Mode (SMM) adversary has high-privilege access and control over system firmware and boot processes. This adversary can exploit improper access controls in volatile memory that contains boot code to execute unauthorized modifications or data extractions.
Example:
1. In CAPEC-679, an adversary with sufficient privileges can disable or misconfigure memory protections to gain access to sensitive memory regions storing boot code, leading to privilege escalation or persistent malware injection.
2. In CVE-2019-2267, the vulnerability in certain Qualcomm chipsets allowed attackers to bypass memory protection mechanisms and access boot-related data in volatile memory, enabling unauthorized modification of system startup parameters.","Volatile Memory with Boot Code
The volatile memory containing boot code is a critical system asset, as it holds the initialization routines, firmware, and security configurations required during startup. Improper protection of this memory can lead to boot code modification, unauthorized execution, or data leakage.
Example:
1. In CAPEC-456, if the boot memory is left unprotected, an adversary can inject malicious instructions or manipulate existing boot code before the operating system loads, compromising the entire system.
2. In CVE-2019-2267, the CVE describes how boot-time vulnerabilities in Qualcomm chipsets allowed attackers to tamper with volatile memory containing boot data, bypassing security policies and potentially executing unauthorized code during system initialization.","DRAM Interface
The DRAM interface is the primary attack surface exploited in this threat model. The dynamic nature of volatile memory makes it susceptible to unauthorized access, data remanence issues, and improper access controls.
Example:
1. In  CAPEC-679, attackers may use DMA (Direct Memory Access) techniques to read or modify memory regions that should be restricted, especially if the system lacks proper hardware-enforced memory protection mechanisms.
2. In CAPEC-456, if the DRAM storing boot code is not securely locked down, an attacker could exploit cold boot attacks or use privileged debugging tools to manipulate the boot sequence.","Insufficient Volatile-Memory-Region Protections or Access Controls
The primary vulnerability stems from improper enforcement of access controls in volatile memory regions that store boot code. If these protections are not adequately configured, an attacker can access and modify critical boot processes.
Example:
1. A system failing to properly restrict access to boot-critical memory regions may allow an adversary to execute unauthorized instructions during startup.
2. In CAPEC-679, attackers can disable or misconfigure memory protection mechanisms, allowing unauthorized modifications to boot firmware or initialization routines.
3. In CVE-2019-2267, the vulnerability in Qualcomm chipsets demonstrated how insufficient access control settings in boot-related memory led to unauthorized tampering, highlighting the risk of improper volatile-memory protections.","Bypass Attack
A bypass attack occurs when an adversary successfully circumvents access control mechanisms to gain unauthorized access to protected volatile memory regions containing boot code.
Example:
1. In CAPEC-679, an attacker could exploit misconfigured memory protection bits to disable read/write restrictions and execute unauthorized code.
2. In  CAPEC-456, a compromised bootloader could allow the attacker to install persistent malware that survives reboots and firmware updates.
3. In CVE-2019-2267, the Qualcomm vulnerability demonstrated an instance where attackers could bypass security mechanisms by exploiting memory access flaws, leading to boot process manipulation.",,,
26,CWE-1277: Firmware Not Updateable,"System Software Adversary
The System Software Adversary is an attacker who has full control over the operating system or virtual machine monitor and can manipulate the execution environment.
1. If firmware is not updateable, an attacker with control over system software can exploit known vulnerabilities without fear of them being patched.
Attackers can install malware, alter system configurations, or exploit insecure firmware behavior to gain persistence.
2. As in CAPEC-682, if firmware is baked into ROM or unmodifiable, adversaries can exploit hardcoded vulnerabilities, bypassing security updates.
3. As in CVE-2020-9054, an adversary exploited a hardcoded command injection flaw in unpatchable firmware, allowing remote code execution, which could not be fixed unless the hardware was physically replaced.",,"Firmware or ROM Code
The attack surface is the firmware itself, which is vulnerable due to its unpatchable nature.
1. If firmware contains security flaws but cannot be updated, adversaries can repeatedly exploit the same vulnerability across multiple systems.
2. As in CAPEC-682, attackers may target firmware through:
a. Boot process manipulation
b. Direct firmware memory access
c. Remote firmware exploitation if networked
3. As in CVE-2020-9054, an unauthenticated remote attacker exploited a firmware flaw to inject commands that led to full device compromise.","Unpatchable Firmware
The core vulnerability is that firmware cannot be updated, making it permanently susceptible to known exploits.
1. If firmware is not designed to be updated, any discovered vulnerabilities remain exploitable indefinitely.
Devices using such firmware may need physical replacement to fix issues.
Example:
1. CAPEC-682 Adversaries can reverse engineer firmware, identify vulnerabilities, and repeatedly exploit them without resistance from security patches.
1. In CVE-2020-9054, a firmware command injection vulnerability allowed attackers to execute arbitrary commands, which could not be patched in certain devices due to lack of update mechanisms.","Exploitation of Unpatchable Firmware
This threat refers to the active exploitation of a firmware vulnerability that cannot be fixed due to update limitations.
1. Attackers can establish persistent footholds in a device by exploiting firmware without any risk of patching removing their access.
Example:
1. CAPEC-682 Exploiting unpatchable firmware can result in:
a. Backdoor installation
b. Privilege escalation
c. Network compromise
2. In CVE-2020-9054, attackers remotely exploited firmware, executing arbitrary commands on affected devices without any possibility of remediation other than physical replacement.",,,
27,CWE-1282: Assumed-Immutable Data is Stored in Writable Memory,"Startup Code and SMM Adversary
The Startup Code and SMM Adversary has privileged control over system initialization, firmware, and System Management Mode (SMM).
1. Since firmware and bootloader components assume certain data is immutable, an adversary with access to startup code execution and SMM can exploit misconfigurations to alter supposedly unchangeable security parameters.
2. System Management Mode (SMM) operates at the highest privilege level, meaning that any compromise in SMM memory protections can allow stealthy firmware manipulation.
3. In CAPEC-458, attackers modify firmware and boot code in flash memory to alter security settings or introduce persistent malware.
4. In CAPEC-679, attackers exploit misconfigured memory protections to gain unauthorized access to assumed-immutable boot parameters and critical system configurations.","Bootloader, Public Keys, Golden Hash Digests
The assets targeted in this attack include critical system components responsible for secure boot and firmware verification:
1. Bootloader: The first piece of code executed at system startup, responsible for verifying and loading the OS securely.
2. Public Keys: Used in cryptographic operations to verify the integrity of firmware and boot images.
3. Golden Hash Digests: Reference values for integrity checks, ensuring that firmware and system components have not been altered.
4. If these assets are stored in writable memory, an attacker can replace bootloader logic, inject malicious firmware, or alter cryptographic verification keys, leading to system takeover.
Example:
1. CAPEC-458 Attackers can overwrite firmware authentication keys stored in flash memory, causing the system to trust unauthorized or malicious updates.
2. CAPEC-679 If memory protection mechanisms are improperly configured, attackers can alter or disable firmware integrity verification, making malicious modifications persist across reboots.","Writable Memory
The primary attack surface in this threat model is any writable memory location that stores assumed-immutable data.
1. If boot parameters, cryptographic keys, or firmware integrity hashes are stored in writable memory, adversaries can tamper with them, bypassing security measures.
2. As in CAPEC-458, attackers exploit insecure flash memory configurations to overwrite firmware with malicious versions that maintain persistence.
3. As in CAPEC-679, misconfigured memory protections allow attackers to bypass security restrictions and modify security-critical firmware settings.","Mutable Storage of Critical Immutable Data
The core vulnerability is the failure to store security-critical data in protected memory regions, making it susceptible to modification.
1. If security-sensitive values are not stored in read-only memory (ROM) or one-time programmable (OTP) memory, adversaries can alter them, rendering security mechanisms ineffective.
Example:
1. CAPEC-458 Attackers rewrite bootloader settings stored in flash memory, disabling secure boot and allowing arbitrary code execution.
2. CAPEC-679 Poorly enforced memory permissions allow an attacker to overwrite supposedly immutable security settings, leading to privilege escalation.","Modification of Bootloader and Keys
The main threat arises from an attacker modifying the bootloader, public keys, or hash digests to bypass security mechanisms.
1. If security-critical components reside in writable memory, an attacker can alter them to subvert security enforcement, allowing unauthorized firmware execution.
Example:
1. CAPEC-458 Attackers replace public keys in firmware storage to trick the system into accepting malicious updates as legitimate.
2. CAPEC-679 If memory protection settings are improperly enforced, attackers can reconfigure security mechanisms to disable integrity checks.
",,,
28,CWE-1255: Comparison Logic is Vulnerable to Power Side-Channel Attacks,"Software Side-Channel Adversary
A Software Side-Channel Adversary leverages power analysis techniques to extract cryptographic keys or other sensitive data from a system by monitoring power consumption patterns.
1. Comparison logic in cryptographic implementations often exhibits different power consumption behaviors based on input values.
2. If the comparison logic is data-dependent, an adversary can infer secret values by measuring power fluctuations during execution.
3. In CAPEC-189, attackers use side-channel analysis techniques to observe power variations and reverse engineer cryptographic secrets without needing internal details of the implementation.
4. In CVE-2020-12788, the CVE describes an instance where an RSA cryptographic implementation was susceptible to power analysis attacks, leading to key leakage through side-channel observation.","Cryptographic Keys or Sensitive Information
The targeted assets include secret cryptographic keys or other sensitive data used in comparison operations.
1. Cryptographic systems rely on secure comparisons to validate data integrity or authentication tokens.
2. If these comparisons introduce data-dependent variations in execution time or power usage, an attacker can extract key material or secret data.
Example:
1. CAPEC-189 Attackers reverse engineer encryption keys by observing power consumption patterns during repeated cryptographic operations.
2. In CVE-2020-12788, a specific vulnerability in RSA key comparison logic allowed attackers to recover private keys by analyzing power side-channel leaks.
","Power Consumption Measurement Interfaces
The primary attack surface is any interface that allows an attacker to measure power consumption while the vulnerable cryptographic logic is executing.
1. Even if cryptographic operations are performed in a black-box environment, attackers can still monitor fluctuations in power usage to deduce sensitive data.
2. Systems without power-randomization techniques expose distinctive patterns in execution.
Example:
1. CAPEC-189 Attackers utilize oscilloscopes, voltage probes, or remote power monitoring tools to track power variations and recover secret keys.
2. In CVE-2020-12788, the vulnerability in the RSA implementation allowed unauthorized power monitoring to extract encryption keys through a side-channel.","Data-dependent Comparison Logic
The fundamental vulnerability is the presence of comparison logic that consumes power in a data-dependent manner.
1. Secure implementations must ensure that all comparisons consume equal power regardless of input values.
2. If the power signature varies based on input data, attackers can extract cryptographic keys bit by bit.
Example:
1. CAPEC-189 Attackers detect whether a bit comparison succeeds or fails by analyzing differences in power draw, gradually reconstructing the key.
2. In CVE-2020-12788, the RSA cryptosystem was found to leak key bits due to a non-constant time comparison function, allowing attackers to recover private keys.
","Power Analysis Side-Channel Attacks
The main threat arises from an attacker performing differential power analysis (DPA) or simple power analysis (SPA) to extract sensitive information.
1. Attackers monitor power variations when secret values are processed, allowing them to infer key material through statistical analysis.
Example:
1. CAPEC-189 Attackers record power consumption traces over multiple encryption operations and use statistical methods to reverse-engineer secret keys.
2. In CVE-2020-12788, the non-constant time implementation of RSA key comparisons led to power-based key extraction, demonstrating a real-world impact of CWE-1255.",,,
29,CWE-1281: Sequence of Processor Instructions Leads to Unexpected Behavior,"System Software Adversary
A System Software Adversary has full control over the operating system (OS) or virtual machine monitor (VMM). This adversary can manipulate privileged execution states, alter memory management, and execute sequences of instructions that may not be anticipated by hardware designers. Given that modern processors implement speculative execution, complex privilege levels, and instruction pipelines, an attacker with system-level control can exploit gaps in these mechanisms to induce unexpected processor behavior.
Example:
1. The CVE-2021-26339 vulnerability discusses an issue with the AMD Secure Processor (ASP) where unexpected instruction sequences could allow an attacker to execute unauthorized operations.
This highlights how adversaries with privileged access can misuse processor instruction execution to gain unintended privileges or cause security violations.","Privileged System Resources
The targeted asset in this threat model is privileged system resources, which include:
1. Control registers
2. Privileged memory regions
3. Microarchitectural elements like cache and speculative execution buffers
When an adversary can manipulate how the CPU executes certain instruction sequences, it may lead to unauthorized access or unintended processor behavior, exposing sensitive information or compromising system integrity.
Example:
1. In the CVE-1999-1476 case, an unexpected sequence of floating-point instructions led to an Intel CPU hanging, demonstrating how even seemingly benign operations could impact system reliability and availability.","Executable Instruction Interface
The attack surface for this vulnerability is the executable instruction interface, which includes:
1. Directly executed CPU instructions (e.g., x86/x64, ARM)
2. Privileged instructions that alter system state
3. Unintended instruction interactions within the microarchitecture
Since modern processors optimize execution through out-of-order execution and speculative execution, an attacker can craft instruction sequences that are functionally valid but lead to unexpected processor behavior.
Example:
1. In CAPEC-212, attackers exploit legitimate functionalities in unintended ways. This applies to CWE-1281, where an attacker may use valid instructions in an unanticipated sequence, triggering security violations.","ISA Logic
The vulnerability in CWE-1281 arises from unintended interactions in the Instruction Set Architecture (ISA) logic, which may cause:
1. Unexpected behavior due to execution pipeline interactions.
2. State corruption when instruction sequences affect privileged registers.
3. Security bypass by manipulating speculative execution or instruction sequencing.
Example:
1. In CVE-2021-26339, an attacker could leverage instruction sequences to trigger unintended behavior in the AMD Secure Processor, potentially leading to unauthorized actions.","Exploiting Instruction Sequences
The primary threat is exploiting instruction sequences that trigger:
1. Erroneous behavior in execution pipelines.
2. Unauthorized privilege escalation by exploiting instruction ordering.
3. Denial of service (DoS) conditions by causing system hangs or crashes.
Example:
1. The CVE-1999-1476 vulnerability demonstrates this by showing how certain floating-point instruction sequences could lead to processor instability.
2. Similarly, CVE-2021-26339 reveals how improper handling of sequences in the AMD Secure Processor could be abused.",,,
30,CWE-1247: Improper Protection Against Voltage and Clock Glitches,"Simple Hardware Adversary
A simple hardware adversary is an attacker with physical access to the device but limited expertise or specialized equipment. This adversary may use off-the-shelf tools (such as voltage glitchers or clock injectors) to disrupt normal device operation and cause security mechanisms to fail.
For example, in CVE-2021-33478, an attacker could use clock glitching on a system-on-chip (SoC) to manipulate cryptographic operations and gain unauthorized access. Similarly, CVE-2019-17391 describes an attack on TPM (Trusted Platform Module) chips where fault injection could bypass authentication mechanisms.","Sensitive Data, Cryptographic Keys, or Operations
The primary assets at risk include:
1. Sensitive Data: Information such as user credentials or stored passwords.
2. Cryptographic Keys: Keys used in encryption/decryption operations, authentication, or secure boot mechanisms.
3. Secure Operations: Protected execution environments (e.g., secure boot or trusted execution environments) that rely on stable power and clock signals.
For instance, CVE-2019-17391 demonstrated that TPM chips could be manipulated using voltage glitching, leading to authentication bypass. This highlights how cryptographic operations are particularly vulnerable when subjected to fault injection attacks.

","External Interfaces and Power/Clock Pins
The attack surfaces exposed to voltage and clock glitches include:
1. Power supply pins (VCC, VDD, etc.), where an attacker can inject sudden voltage drops or surges.
2. Clock signal lines, which can be manipulated to alter execution timing.
3. External interfaces (e.g., JTAG, UART) that may allow indirect access to power and clock control mechanisms.
For example, in CAPEC-625, fault injection techniques are specifically applied to mobile devices, where attackers can alter supply voltage levels or introduce glitches in the clock to bypass bootloader security or extract cryptographic materials.","Improper Protection Against Voltage and Clock Glitches
This vulnerability exists when a system lacks appropriate defenses against voltage and clock manipulation, making it susceptible to fault injection. Some common weaknesses include:
1. Lack of glitch detection mechanisms, allowing faults to persist unnoticed.
2. No redundancy in security checks, meaning transient faults can bypass protections.
3. Absence of tamper-resistant designs, making the hardware easier to manipulate.
in CVE-2021-33478 demonstrates how clock glitching can disrupt cryptographic computations, potentially leading to incorrect encryption results or authentication bypass.
in CVE-2019-17391 Shows how voltage glitching can be used to bypass authentication on Trusted Platform Modules (TPMs), compromising the security of encrypted data.","Fault Injection via Voltage or Clock Glitches
An adversary can exploit this vulnerability using fault injection attacks to:
1. Bypass authentication mechanisms, such as TPM-based security verification.
2. Modify cryptographic operations, leading to incorrect encryption/decryption results.
3. Trigger unexpected system behavior, such as privilege escalation or unauthorized code execution.
in CAPEC-624 (Hardware Fault Injection) – Involves injecting voltage glitches or modifying clock signals to disrupt normal hardware operation. Attackers can cause incorrect computation results, skip security checks, or introduce privilege escalation.
in CAPEC-625 (Mobile Device Fault Injection) – Targets mobile and embedded devices by injecting power and clock faults to bypass secure boot mechanisms, extract cryptographic keys, or disable security features.",,,
